City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
259,Cayce,US,2022-03-25 00:41:52,33.9657,-81.074,62.38,55,75,6.91
260,Pavagada,IN,2022-03-25 00:41:53,14.1,77.2667,74.97,64,14,3.27
261,Bengkulu,ID,2022-03-25 00:34:34,-3.8004,102.2655,78.24,70,100,3.51
262,Saskylakh,RU,2022-03-25 00:32:47,71.9167,114.0833,-10.98,100,100,4.32
263,Udachnyy,RU,2022-03-25 00:41:53,66.4167,112.4,8.46,55,100,3.69
264,Piacabucu,BR,2022-03-25 00:41:54,-10.4056,-36.4344,77.9,75,31,5.57
265,Palmas,BR,2022-03-25 00:41:54,-10.2128,-48.3603,73.27,100,75,3.44
266,Yaring,TH,2022-03-25 00:41:55,6.8662,101.3689,80.29,85,4,5.5
267,Meaux,FR,2022-03-25 00:41:55,48.9167,3.0,47.5,56,0,7.85
268,Ketchikan,US,2022-03-25 00:41:56,55.3422,-131.6461,48.18,61,100,11.5
269,Rawson,AR,2022-03-25 00:32:20,-43.3002,-65.1023,57.87,66,0,11.03
270,Causapscal,CA,2022-03-25 00:41:56,48.3542,-67.227,28.4,93,100,10.83
271,Mawlaik,MM,2022-03-25 00:41:57,23.6333,94.4167,72.36,52,5,1.3
272,Badulla,LK,2022-03-25 00:41:57,6.9895,81.0557,68.97,90,9,3.85
273,Saint-Gabriel,CA,2022-03-25 00:41:57,46.3001,-73.3824,35.6,95,100,2.64
274,Cururupu,BR,2022-03-25 00:35:14,-1.8283,-44.8683,74.16,98,99,2.91
275,Gumla,IN,2022-03-25 00:41:58,23.05,84.55,72.39,22,27,2.91
276,Berdigestyakh,RU,2022-03-25 00:41:58,62.0989,126.6992,18.52,94,95,1.45
277,Alice Springs,AU,2022-03-25 00:40:28,-23.7,133.8833,76.55,47,0,14.97
278,Challapata,BO,2022-03-25 00:41:59,-18.9,-66.7667,54.82,40,76,6.35
279,Menongue,AO,2022-03-25 00:41:59,-14.6585,17.691,63.36,97,100,2.37
280,Lodja,CD,2022-03-25 00:42:00,-3.4833,23.4333,68.76,97,2,1.25
281,Ancud,CL,2022-03-25 00:34:35,-41.8697,-73.8203,49.03,90,2,5.5
282,Angoche,MZ,2022-03-25 00:42:00,-16.2325,39.9086,76.57,83,9,3.44
283,Nailsea,GB,2022-03-25 00:42:01,51.4324,-2.7585,49.55,70,0,4.61
284,Nanortalik,GL,2022-03-25 00:29:37,60.1432,-45.2371,27.12,71,100,5.26
285,Opuwo,NA,2022-03-25 00:42:01,-18.0607,13.84,66.18,81,67,4.12
286,Hasaki,JP,2022-03-25 00:33:53,35.7333,140.8333,54.28,42,0,5.53
287,Sahuaripa,MX,2022-03-25 00:42:02,29.05,-109.2333,79.11,9,0,2.06
288,Berlevag,NO,2022-03-25 00:42:02,70.8578,29.0864,26.4,83,100,40.38
289,La Ronge,CA,2022-03-25 00:35:27,55.1001,-105.2842,26.85,50,75,18.41
290,Auki,SB,2022-03-25 00:42:03,-8.7676,160.7034,83.59,73,33,4.18
291,Bend,US,2022-03-25 00:42:03,44.0582,-121.3153,66.0,46,0,10.36
292,Deputatskiy,RU,2022-03-25 00:29:41,69.3,139.9,-2.47,88,41,0.92
293,Okha,RU,2022-03-25 00:42:04,53.5739,142.9478,23.81,80,10,2.89
294,Panshi,CN,2022-03-25 00:42:05,42.9422,126.0561,46.08,72,100,15.77
